x,y,species cloglog values
778.0,778.0,0.042871583
779.0,779.0,0.07867114
780.0,780.0,0.059780005
781.0,781.0,0.8502148
782.0,782.0,0.484121
783.0,783.0,0.17066261
784.0,784.0,0.73138106
785.0,785.0,0.051089652
786.0,786.0,0.05181673
787.0,787.0,0.043312136
788.0,788.0,0.06897431
789.0,789.0,0.111906454
790.0,790.0,0.11866768
791.0,791.0,0.08913863
792.0,792.0,0.022183308
793.0,793.0,0.11213428
794.0,794.0,0.97190976
795.0,795.0,0.09695293
796.0,796.0,0.07585894
797.0,797.0,0.04544254
798.0,798.0,0.1355085
799.0,799.0,0.10224646
800.0,800.0,0.12362702
801.0,801.0,0.062715285
802.0,802.0,0.03024442
803.0,803.0,0.095209196
804.0,804.0,0.04228461
805.0,805.0,0.11720918
806.0,806.0,0.13073541
807.0,807.0,0.1388058
808.0,808.0,0.9743588
809.0,809.0,0.06657783
810.0,810.0,0.54991776
811.0,811.0,0.14445584
812.0,812.0,0.063605614
813.0,813.0,0.108892255
814.0,814.0,0.07556809
815.0,815.0,0.18428546
816.0,816.0,0.023139654
817.0,817.0,0.05643636
818.0,818.0,0.41495076
819.0,819.0,0.027906876
820.0,820.0,0.18567301
821.0,821.0,0.091849156
822.0,822.0,0.19669935
823.0,823.0,0.059676055
824.0,824.0,0.041991916
825.0,825.0,0.04858476
826.0,826.0,0.9894829
827.0,827.0,0.71577317
828.0,828.0,0.044821195
829.0,829.0,0.17263012
830.0,830.0,0.050476223
831.0,831.0,0.16381034
