x,y,species cloglog values
847.0,847.0,0.084379524
848.0,848.0,0.10702293
849.0,849.0,0.036501896
850.0,850.0,0.09539358
851.0,851.0,0.078638196
852.0,852.0,0.45594046
853.0,853.0,0.70438147
854.0,854.0,0.044902623
855.0,855.0,0.08427167
856.0,856.0,0.15815991
857.0,857.0,0.107918054
858.0,858.0,0.130594
859.0,859.0,0.038854696
860.0,860.0,0.6290593
861.0,861.0,0.06928043
862.0,862.0,0.10011979
863.0,863.0,0.038560983
864.0,864.0,0.07918312
865.0,865.0,0.05530965
866.0,866.0,0.049069952
867.0,867.0,0.032319535
868.0,868.0,0.042907458
869.0,869.0,0.06484555
870.0,870.0,0.050223995
871.0,871.0,0.35348243
872.0,872.0,0.29607344
873.0,873.0,0.060732365
874.0,874.0,0.5920823
875.0,875.0,0.062720634
876.0,876.0,0.3011697
877.0,877.0,0.081767574
878.0,878.0,0.026187439
879.0,879.0,0.5557729
880.0,880.0,0.02487567
881.0,881.0,0.06643685
882.0,882.0,0.058552183
883.0,883.0,0.23850785
884.0,884.0,0.12805784
885.0,885.0,0.07943533
886.0,886.0,0.24783204
887.0,887.0,0.03420391
888.0,888.0,0.9961477
889.0,889.0,0.06471815
890.0,890.0,0.032135922
891.0,891.0,0.03737742
892.0,892.0,0.04558543
893.0,893.0,0.04609987
894.0,894.0,0.10208021
895.0,895.0,0.069515936
896.0,896.0,0.07235851
897.0,897.0,0.17018229
898.0,898.0,0.052603204
899.0,899.0,0.26319417
900.0,900.0,0.48176074
901.0,901.0,0.059082493
902.0,902.0,0.032917142
903.0,903.0,0.03698869
904.0,904.0,0.027949452
905.0,905.0,0.21200836
906.0,906.0,0.14511159
907.0,907.0,0.030058455
908.0,908.0,0.0529821
909.0,909.0,0.03996018
910.0,910.0,0.03626038
911.0,911.0,0.052525744
912.0,912.0,0.049711637
913.0,913.0,0.07807847
914.0,914.0,0.045113526
915.0,915.0,0.06752634
916.0,916.0,0.11077112
917.0,917.0,0.039328787
918.0,918.0,0.37436727
919.0,919.0,0.055713113
920.0,920.0,0.06145479
921.0,921.0,0.03568883
922.0,922.0,0.03847511
923.0,923.0,0.06024522
924.0,924.0,0.40135837
925.0,925.0,0.1106944
926.0,926.0,0.124199726
927.0,927.0,0.039870575
928.0,928.0,0.04152593
929.0,929.0,0.04589035
930.0,930.0,0.039721075
931.0,931.0,0.04646994
932.0,932.0,0.12875542
933.0,933.0,0.07393542
934.0,934.0,0.07745927
935.0,935.0,0.045893855
936.0,936.0,0.07378044
937.0,937.0,0.070920646
938.0,938.0,0.08571655
939.0,939.0,0.08893159
940.0,940.0,0.046287976
941.0,941.0,0.07267014
942.0,942.0,0.057218533
943.0,943.0,0.07191906
944.0,944.0,0.42184478
945.0,945.0,0.050095625
946.0,946.0,0.26754394
947.0,947.0,0.8990421
948.0,948.0,0.04615682
949.0,949.0,0.05077516
950.0,950.0,0.123444736
951.0,951.0,0.10370559
952.0,952.0,0.050593972
953.0,953.0,0.02852664
954.0,954.0,0.07500022
955.0,955.0,0.14837497
956.0,956.0,0.03773544
957.0,957.0,0.04024985
958.0,958.0,0.16566457
959.0,959.0,0.10957343
960.0,960.0,0.03240497
961.0,961.0,0.056449573
962.0,962.0,0.049860924
963.0,963.0,0.17439717
964.0,964.0,0.041431345
965.0,965.0,0.096352376
966.0,966.0,0.10090751
967.0,967.0,0.18073685
968.0,968.0,0.2348066
969.0,969.0,0.02770626
970.0,970.0,0.05256535
971.0,971.0,0.0652109
